temperature,humidity,rainfall,transit_time,storage_duration,food_type_encoded,risk_label,loss_percentage
9.887695964245044,78.4768250204577,119.3700315892974,32.37704182903177,2.9992474745400868,28,1,16.67
29.988204336800674,24.23086842703252,144.39975445336495,67.60651869462613,0.02336297523042985,23,1,22.35
2.3038511244478483,21.72968187810618,104.95493205167783,29.090059477640768,1.3999698964084628,21,0,3.09
38.97743748966178,71.02306539408347,90.0998503939086,1.4484447229304567,28.266052670545584,2,2,45.42
6.199900902274506,71.31747698841177,88.03049874792026,9.225733791401685,14.855307303338105,25,0,9.18
9.83615177488668,76.65210577382393,85.03117489824893,15.367828895075501,17.031009834599743,35,0,8.58
18.99146014807802,89.49941493453457,145.45439917128417,23.84766496961723,17.11331923216198,33,1,29.22
18.713123456647725,40.35117738304219,165.74750183038586,26.007862858591633,8.428035290621423,20,0,2.27
9.106478379709106,21.172730505589545,84.68029614127393,28.734028549553233,8.804645241541143,14,0,2.79
33.347308225762454,77.84527600144594,14.808930346818073,26.13029959091549,3.4760717857538914,7,1,22.47
6.102635009087686,47.81136891486997,133.76825053272145,48.11344849815101,17.738933631231813,33,1,21.22
7.142552575346973,73.49335904172463,152.15700972337947,40.63131962621898,23.12901539863683,34,1,20.45
6.768305294908747,52.95023763993276,40.34384046707924,64.54709709065664,14.261106695463353,14,1,23.91
12.719565853401622,50.77871922767223,151.11022770860973,16.859068832651005,2.30939729486379,36,0,2.45
28.84722406975311,42.17252643782855,21.09885196605412,33.14222178952808,6.553213116505008,1,1,27.67
17.32080703730992,88.01213311593155,54.426449876927066,46.809843618707404,0.015611309859474565,27,1,16.1
23.962134010835328,51.30582523615843,44.42156209414605,9.07037376435832,10.12845514210884,5,0,3.91
25.998386086745672,50.28771282935306,12.978449421796313,18.654952096305646,7.406281885158036,31,1,24.25
14.248141258231108,22.76652105158996,121.91286679597937,36.4415501608636,1.5443625374996806,36,0,9.17
31.270334416854972,59.820093748785226,89.55663291461833,40.03185586859995,17.780901716381805,18,1,17.39
33.313302990309964,47.58373495394399,126.4611661187159,45.79737431940397,16.073240522242756,16,2,63.41
31.91995069200792,84.37691036102899,65.19178104037695,16.247234900936704,21.334485973140534,5,2,43.95
9.497756447214632,71.82033035768495,77.34706926010747,67.47619419467652,4.1256283243797975,6,1,12.27
25.28226287458533,72.18382995088116,45.71000435945993,13.009277287359437,29.465050299883067,22,0,3.35
6.003419015653666,87.29118184649951,180.0836114326661,45.76675419503866,10.170893731461021,0,1,24.52
38.821944550757976,50.33810953416426,177.55401975219195,61.34138408687716,28.069049826628426,2,2,56.76
18.00815896215495,90.51000818433339,194.73276735106347,20.800349693728798,9.160915810331803,34,1,18.97
32.62370651794404,37.793681562260005,65.07993963185355,53.87413546593873,19.48898697141644,35,2,56.3
